name,nbTasks,maxPercentCombine,nbDrivers(Vehicles)Available,lengthOfDepartureTimeFlexibility,nbDriversInSolution,nbVehiclesInSolution,nbTripsHavePassenger,nbTripsHavePassenger(NormalTrip),nbTripsHavePassenger(CombineTrip),nbTripsPerformedPerDriver,totalWorkTimePerDriver(minute),totalDriveTimePerDriver(minute),totalPassengerTimePerDriver(minute),totalIdleTimePerDriver(minute),shortestIdleTime(minute),longestIdleTime(minute),shortestWorkingTime(minute),longestWorkingTime(minute),nbChangeoversPerDriver,nbChangeoverPerDriver_ChangeStatus,nbChangeoverPerDriver_ChangeVehicle,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,25,0.0,5,1,5,5,0,0,0,5.0,382.0,252.0,0.0,130.0,15.0,55.0,165.0,540.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,25,0.0,5,11,5,5,0,0,0,5.0,374.0,252.0,0.0,122.0,15.0,55.0,155.0,530.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,25,0.0,5,21,5,5,0,0,0,5.0,364.0,252.0,0.0,112.0,15.0,62.0,135.0,520.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,25,0.0,5,31,5,5,0,0,0,5.0,356.0,252.0,0.0,104.0,15.0,55.0,180.0,505.0,0.2,0.0,0.2,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,25,0.0,5,41,5,5,0,0,0,5.0,350.0,252.0,0.0,98.0,15.0,70.0,180.0,495.0,0.2,0.0,0.2,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,25,0.0,5,51,5,5,0,0,0,5.0,344.0,252.0,0.0,92.0,15.0,55.0,180.0,485.0,0.2,0.0,0.2,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,25,0.0,5,61,5,5,0,0,0,5.0,325.0,252.0,0.0,73.0,15.0,39.0,180.0,450.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,25,0.25,5,1,5,5,1,0,1,5.0,391.0,249.0,9.0,133.0,15.0,60.0,180.0,540.0,0.2,0.2,0.2,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,25,0.25,5,11,5,5,1,0,1,5.0,383.0,249.0,9.0,125.0,15.0,55.0,180.0,530.0,0.2,0.2,0.2,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,25,0.25,5,21,5,5,1,0,1,5.0,375.0,249.0,9.0,117.0,15.0,65.0,180.0,520.0,0.2,0.2,0.2,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,25,0.25,5,31,4,4,1,0,1,6.25,465.0,311.25,11.25,142.5,15.0,65.0,320.0,560.0,0.5,0.5,0.25,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,25,0.25,5,41,4,4,1,0,1,6.25,456.25,311.25,11.25,133.75,15.0,75.0,310.0,555.0,0.5,0.5,0.25,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,25,0.25,5,51,4,4,1,0,1,6.25,446.25,311.25,11.25,123.75,15.0,75.0,245.0,565.0,0.25,0.25,0.25,
nbCities:3; nbDepots:2; size:90 90;nbTrips:25;nbCombinedTrips1;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,25,0.25,5,61,4,4,1,0,1,6.25,422.5,311.25,11.25,100.0,15.0,45.0,235.0,525.0,0.5,0.5,0.25,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,30,0.0,6,1,5,5,0,0,0,6.0,470.0,294.0,0.0,176.0,15.0,55.0,110.0,680.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,30,0.0,6,11,5,5,0,0,0,6.0,456.0,294.0,0.0,162.0,15.0,75.0,105.0,655.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,30,0.0,6,21,5,5,0,0,0,6.0,448.0,294.0,0.0,154.0,15.0,75.0,105.0,645.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,30,0.0,6,31,5,5,0,0,0,6.0,415.0,294.0,0.0,121.0,15.0,60.0,105.0,675.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,30,0.0,6,41,4,4,0,0,0,7.5,512.5,367.5,0.0,145.0,15.0,60.0,380.0,650.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,30,0.0,6,51,4,4,0,0,0,7.5,502.5,367.5,0.0,135.0,15.0,50.0,370.0,655.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,30,0.0,6,61,4,4,0,0,0,7.5,492.5,367.5,0.0,125.0,15.0,45.0,360.0,645.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,30,0.25,6,1,6,6,2,0,2,5.0,416.6666666666667,250.0,15.0,151.66666666666666,15.0,60.0,140.0,665.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,30,0.25,6,11,6,6,2,0,2,5.0,407.5,250.0,15.0,142.5,15.0,60.0,135.0,655.0,0.5,0.3333333333333333,0.5,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,30,0.25,6,21,6,6,2,0,2,5.0,390.0,250.0,15.0,125.0,15.0,55.0,180.0,520.0,0.5,0.3333333333333333,0.5,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,30,0.25,6,31,6,6,2,0,2,5.0,381.6666666666667,250.0,15.0,116.66666666666667,15.0,60.0,125.0,560.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,30,0.25,6,41,5,5,4,2,2,6.0,486.0,300.0,36.0,150.0,15.0,65.0,115.0,665.0,1.0,0.8,1.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,30,0.25,6,51,5,5,4,3,1,6.0,484.0,300.0,36.0,148.0,15.0,75.0,365.0,655.0,1.4,0.8,1.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:30;nbCombinedTrips2;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,30,0.25,6,61,5,5,3,3,0,6.0,477.0,300.0,30.0,147.0,15.0,115.0,445.0,540.0,1.4,0.4,1.4,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,35,0.0,6,1,6,6,0,0,0,5.833333333333333,451.6666666666667,290.0,0.0,161.66666666666666,15.0,55.0,140.0,540.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,35,0.0,6,11,6,6,0,0,0,5.833333333333333,437.5,290.0,0.0,147.5,15.0,75.0,310.0,635.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,35,0.0,6,21,6,6,0,0,0,5.833333333333333,427.5,290.0,0.0,137.5,15.0,75.0,300.0,520.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,35,0.0,6,31,6,6,0,0,0,5.833333333333333,403.3333333333333,290.0,0.0,113.33333333333333,15.0,75.0,295.0,490.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,35,0.0,6,41,6,5,0,0,0,5.833333333333333,388.3333333333333,290.0,0.0,98.33333333333333,15.0,60.0,180.0,675.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,35,0.0,6,51,6,5,0,0,0,5.833333333333333,389.1666666666667,290.0,0.0,99.16666666666667,15.0,100.0,190.0,645.0,0.16666666666666666,0.0,0.16666666666666666,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,35,0.0,6,61,6,5,0,0,0,5.833333333333333,369.1666666666667,290.0,0.0,79.16666666666667,15.0,35.0,300.0,450.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,35,0.25,7,1,6,6,3,1,2,5.833333333333333,505.0,290.0,25.0,190.0,15.0,85.0,305.0,665.0,0.8333333333333334,0.3333333333333333,0.8333333333333334,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,35,0.25,7,11,6,6,3,1,2,5.833333333333333,493.3333333333333,290.0,25.0,178.33333333333334,15.0,115.0,340.0,655.0,0.8333333333333334,0.3333333333333333,0.6666666666666666,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,35,0.25,7,21,6,6,3,1,2,5.833333333333333,485.0,290.0,25.0,170.0,15.0,105.0,340.0,645.0,1.1666666666666667,0.6666666666666666,1.1666666666666667,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,35,0.25,7,31,6,6,3,0,3,5.833333333333333,483.3333333333333,290.0,25.0,168.33333333333334,15.0,110.0,310.0,610.0,1.1666666666666667,0.16666666666666666,1.1666666666666667,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,35,0.25,7,41,6,6,3,1,2,5.833333333333333,450.8333333333333,290.0,25.0,135.83333333333334,15.0,70.0,370.0,570.0,1.1666666666666667,0.3333333333333333,1.1666666666666667,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,35,0.25,7,51,6,6,3,1,2,5.833333333333333,443.3333333333333,290.0,25.0,128.33333333333334,15.0,60.0,370.0,540.0,1.3333333333333333,0.3333333333333333,1.3333333333333333,
nbCities:3; nbDepots:2; size:90 90;nbTrips:35;nbCombinedTrips3;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,35,0.25,7,61,5,5,1,1,0,7.0,492.0,348.0,12.0,132.0,15.0,55.0,295.0,615.0,1.0,0.2,1.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,40,0.0,7,1,6,5,0,0,0,6.666666666666667,580.0,335.0,0.0,245.0,15.0,130.0,490.0,660.0,0.6666666666666666,0.0,0.6666666666666666,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,40,0.0,7,11,6,5,0,0,0,6.666666666666667,529.1666666666666,335.0,0.0,194.16666666666666,15.0,80.0,350.0,655.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,40,0.0,7,21,6,5,0,0,0,6.666666666666667,519.1666666666666,335.0,0.0,184.16666666666666,15.0,95.0,340.0,645.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,40,0.0,7,31,6,5,0,0,0,6.666666666666667,485.0,335.0,0.0,150.0,15.0,55.0,185.0,660.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,40,0.0,7,41,6,4,0,0,0,6.666666666666667,467.5,335.0,0.0,132.5,15.0,65.0,180.0,660.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,40,0.0,7,51,6,4,0,0,0,6.666666666666667,460.8333333333333,335.0,0.0,125.83333333333333,15.0,60.0,200.0,650.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,40,0.0,7,61,6,5,0,0,0,6.666666666666667,435.8333333333333,335.0,0.0,100.83333333333333,15.0,50.0,180.0,620.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,40,0.25,8,1,7,7,4,1,3,5.714285714285714,502.85714285714283,282.85714285714283,30.0,190.0,15.0,105.0,345.0,665.0,1.0,0.5714285714285714,1.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,40,0.25,8,11,6,7,3,1,2,6.666666666666667,595.8333333333334,330.0,25.0,240.83333333333334,15.0,120.0,520.0,720.0,1.5,0.8333333333333334,1.5,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,40,0.25,8,21,6,7,4,3,1,6.666666666666667,589.1666666666666,330.0,35.0,224.16666666666666,15.0,150.0,380.0,710.0,1.8333333333333333,0.8333333333333334,1.6666666666666667,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,40,0.25,8,31,6,7,3,2,1,6.666666666666667,551.6666666666666,330.0,25.0,196.66666666666666,15.0,105.0,260.0,715.0,1.8333333333333333,0.8333333333333334,1.8333333333333333,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,40,0.25,8,41,6,7,3,2,1,6.666666666666667,524.1666666666666,330.0,25.0,169.16666666666666,15.0,85.0,115.0,720.0,1.5,0.8333333333333334,1.3333333333333333,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,40,0.25,8,51,6,7,3,2,1,6.666666666666667,526.6666666666666,330.0,25.0,171.66666666666666,15.0,95.0,330.0,710.0,1.3333333333333333,0.8333333333333334,1.3333333333333333,
nbCities:3; nbDepots:2; size:90 90;nbTrips:40;nbCombinedTrips4;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,40,0.25,8,61,6,6,2,1,1,6.666666666666667,499.1666666666667,330.0,20.0,149.16666666666666,15.0,115.0,355.0,620.0,1.8333333333333333,0.5,1.5,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,45,0.0,8,1,7,5,0,0,0,6.428571428571429,525.0,321.42857142857144,0.0,203.57142857142858,15.0,80.0,135.0,670.0,0.14285714285714285,0.0,0.14285714285714285,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,45,0.0,8,11,7,5,0,0,0,6.428571428571429,502.85714285714283,321.42857142857144,0.0,181.42857142857142,15.0,75.0,195.0,660.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,45,0.0,8,21,7,5,0,0,0,6.428571428571429,488.57142857142856,321.42857142857144,0.0,167.14285714285714,15.0,80.0,370.0,645.0,0.14285714285714285,0.0,0.14285714285714285,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,45,0.0,8,31,7,5,0,0,0,6.428571428571429,455.7142857142857,321.42857142857144,0.0,134.28571428571428,15.0,70.0,285.0,635.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,45,0.0,8,41,7,5,0,0,0,6.428571428571429,442.14285714285717,321.42857142857144,0.0,120.71428571428571,15.0,100.0,205.0,665.0,0.14285714285714285,0.0,0.14285714285714285,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,45,0.0,8,51,7,5,0,0,0,6.428571428571429,424.2857142857143,321.42857142857144,0.0,102.85714285714286,15.0,60.0,180.0,655.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,45,0.0,8,61,7,5,0,0,0,6.428571428571429,403.57142857142856,321.42857142857144,0.0,82.14285714285714,15.0,20.0,180.0,665.0,0.0,0.0,0.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips6;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,45,0.25,9,1,8,9,5,0,5,5.625,527.5,277.5,30.0,220.0,15.0,150.0,395.0,710.0,1.75,1.125,1.5,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips6;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,45,0.25,9,11,8,9,4,0,4,5.625,491.25,277.5,26.25,187.5,15.0,120.0,195.0,655.0,1.375,1.0,1.375,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips6;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,45,0.25,9,21,8,9,4,1,3,5.625,480.625,277.5,26.25,176.875,15.0,140.0,180.0,645.0,1.25,1.0,1.25,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips6;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,45,0.25,9,31,8,9,6,2,4,5.625,464.375,277.5,37.5,149.375,15.0,100.0,370.0,540.0,1.0,0.875,1.0,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips6;maxFolderTimeSlotAsTimeWindow4;planningHorizon:0-1440;maxDriving:540;maxWorking:720,45,0.25,9,41,8,9,5,2,3,5.625,458.75,277.5,33.75,147.5,15.0,90.0,400.0,530.0,1.5,0.875,1.25,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips6;maxFolderTimeSlotAsTimeWindow5;planningHorizon:0-1440;maxDriving:540;maxWorking:720,45,0.25,9,51,8,9,6,2,4,5.625,451.875,277.5,37.5,136.875,15.0,80.0,130.0,660.0,1.375,0.875,1.375,
nbCities:3; nbDepots:2; size:90 90;nbTrips:45;nbCombinedTrips6;maxFolderTimeSlotAsTimeWindow6;planningHorizon:0-1440;maxDriving:540;maxWorking:720,45,0.25,9,61,7,8,4,0,4,6.428571428571429,502.14285714285717,317.14285714285717,30.0,155.0,15.0,90.0,390.0,625.0,1.7142857142857142,1.1428571428571428,1.5714285714285714,
nbCities:3; nbDepots:2; size:90 90;nbTrips:50;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow0;planningHorizon:0-1440;maxDriving:540;maxWorking:720,50,0.0,9,1,8,8,0,0,0,6.25,494.375,311.25,0.0,183.125,15.0,55.0,165.0,715.0,0.25,0.0,0.25,
nbCities:3; nbDepots:2; size:90 90;nbTrips:50;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow1;planningHorizon:0-1440;maxDriving:540;maxWorking:720,50,0.0,9,11,8,8,0,0,0,6.25,473.125,311.25,0.0,161.875,15.0,85.0,155.0,635.0,0.125,0.0,0.125,
nbCities:3; nbDepots:2; size:90 90;nbTrips:50;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow2;planningHorizon:0-1440;maxDriving:540;maxWorking:720,50,0.0,9,21,8,8,0,0,0,6.25,461.25,311.25,0.0,150.0,15.0,100.0,115.0,645.0,0.125,0.0,0.125,
nbCities:3; nbDepots:2; size:90 90;nbTrips:50;nbCombinedTrips0;maxFolderTimeSlotAsTimeWindow3;planningHorizon:0-1440;maxDriving:540;maxWorking:720,50,0.0,9,31,8,7,0,0,0,6.25,436.875,311.25,0.0,125.625,15.0,60.0,205.0,650.0,0.125,0.0,0.125,
